path	line	fn
gatk-core/src/io/fasta.rs	324	get_sequence_by_position
gatk-core/src/io/fasta.rs	343	count_sequences
gatk-core/src/io/fasta.rs	352	total_sequence_length
gatk-core/src/io/fasta.rs	362	new
gatk-core/src/io/fasta.rs	370	write_sequence
gatk-core/src/io/fasta.rs	383	write_sequences
gatk-core/src/io/fasta.rs	390	finish
gatk-core/src/io/fasta.rs	415	next
gatk-core/src/io/fasta.rs	426	new
gatk-core/src/io/fasta.rs	438	parse_fasta_header_name_and_description
gatk-core/src/io/fasta.rs	454	read_next_sequence
gatk-core/src/io/fasta.rs	531	get_metadata
gatk-core/src/io/fasta.rs	538	new
gatk-core/src/io/fasta.rs	549	find_next_header
gatk-core/src/io/fasta.rs	555	find_sequence_end
gatk-core/src/io/fasta.rs	563	extract_header_info
gatk-core/src/io/fasta.rs	586	extract_sequence
gatk-core/src/io/fasta.rs	600	read_next_sequence
gatk-core/src/io/fasta.rs	632	get_metadata
gatk-core/src/io/fasta.rs	639	new
gatk-core/src/io/fasta.rs	647	build_from_file
gatk-core/src/io/fasta.rs	677	get_sequence
gatk-core/src/io/fasta.rs	716	remove_newlines
gatk-core/src/io/fasta.rs	742	save_to_file
gatk-core/src/io/fasta.rs	753	load_from_file
gatk-core/src/io/fasta.rs	768	sequence_names
gatk-core/src/io/fasta.rs	773	get_entry
gatk-core/src/io/fasta.rs	779	default
gatk-core/src/io/fastq.rs	28	read_next_read
gatk-core/src/io/fastq.rs	29	get_metadata
gatk-core/src/io/fastq.rs	48	from_file
gatk-core/src/io/fastq.rs	72	from_file_buffered
gatk-core/src/io/fastq.rs	82	from_file_memory_mapped
gatk-core/src/io/fastq.rs	90	read_next_read
gatk-core/src/io/fastq.rs	95	read_all_reads
gatk-core/src/io/fastq.rs	106	metadata
gatk-core/src/io/fastq.rs	111	iter
gatk-core/src/io/fastq.rs	116	count_reads
gatk-core/src/io/fastq.rs	125	total_bases
gatk-core/src/io/fastq.rs	134	filter_by_quality
gatk-core/src/io/fastq.rs	150	filter_by_length
gatk-core/src/io/fastq.rs	168	sample_reads
gatk-core/src/io/fastq.rs	199	get_position
gatk-core/src/io/fastq.rs	204	seek_to_position
gatk-core/src/io/fastq.rs	228	next
gatk-core/src/io/fastq.rs	239	new
gatk-core/src/io/fastq.rs	251	read_next_read
